refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,12.568,32,0
VCOMP0,VCOMP0-1,0,-32,0
VCOMP1,VCOMP1-0,12.5603,-2.69074,0.01875
VCOMP1,VCOMP1-1,12.5603,-2.69074,0.01875
VCOMP1,VCOMP1-2,12.5589,-2.61853,0.01875
VCOMP1,VCOMP1-3,0,8,0.01875
VCOMP2,VCOMP2-0,12.5503,-2.64928,0.01875
VCOMP2,VCOMP2-1,12.5503,-2.64928,0.01875
VCOMP2,VCOMP2-2,12.5513,-2.70144,0.01875
VCOMP2,VCOMP2-3,0,8,0.01875
VCOMP3,VCOMP3-0,12.568,-8,0.01875
VCOMP3,VCOMP3-1,0.0213247,2.67106,0.01875
VCOMP3,VCOMP3-2,0.0214481,2.66447,0.01875
VCOMP3,VCOMP3-3,0.0214481,2.66447,0.01875
VCOMP4,VCOMP4-0,12.568,-8,0.01875
VCOMP4,VCOMP4-1,0.00962102,2.66015,0.01875
VCOMP4,VCOMP4-2,0.00901665,2.69238,0.01875
VCOMP4,VCOMP4-3,0.00985857,2.64748,0.01875
